saddr,saddr-raw,daddr,daddr-raw,ipid,ttl,classification,success,sport,dport,icmp_responder,icmp_type,icmp_code,icmp_unreach_str,udp_pkt_size,data,repeat,cooldown,timestamp-str,timestamp-ts,timestamp-us
46.21.162.1,27399470,172.20.88.54,911742124,2256,55,udp,1,161,42429,,,,,111,3065020103300e02024a6902021194040100020103041e301c040b800007c70300243898af00020142020401440d900400040004003030040b800007c70300243898af000400a81f020237f002010002010030133011060a2b060106030f010104004103013683,0,0,2025-06-02T11:18:37.892+0200,1748855917,892926
46.144.214.24,416714798,172.20.88.54,911742124,3490,245,udp,1,161,50974,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c80000009030058569f169d800201060204014c6a1d0400040004003030040c80000009030058569f169d800400a81e020237f002010002010030123010060a2b060106030f010104004102128f,0,0,2025-06-02T11:18:37.898+0200,1748855917,898173
83.167.211.16,282306387,172.20.88.54,911742124,28860,242,udp,1,161,37561,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300889caddb890002010d02040098f5970400040004003030040c800000090300889caddb89000400a81e020237f002010002010030123010060a2b060106030f010104004102030c,0,0,2025-06-02T11:18:37.900+0200,1748855917,900741
84.26.39.1,19339860,172.20.88.54,911742124,28107,242,udp,1,161,46842,,,,,113,3067020103300e02024a69020205dc040100020103041f301d040c800000090300d4ad710c780002010c020401ba2b610400040004003031040c800000090300d4ad710c78000400a81f020237f002010002010030133011060a2b060106030f01010400410305aa54,0,0,2025-06-02T11:18:37.901+0200,1748855917,901009
5.104.141.73,1234003973,172.20.88.54,911742124,57415,246,udp,1,161,51611,,,,,122,3070020103300e02024a69020205dc040100020103042a3028040b800063a203443192fb4c170201050204034330340400040c0000000000000000000000000400302f040b800063a203443192fb4c170400a81e02010002010002010030133011060a2b060106030f010104004103033997,0,0,2025-06-02T11:18:37.901+0200,1748855917,901340
80.113.98.88,1482846544,172.20.88.54,911742124,64174,242,udp,1,161,47797,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300ac3a6728fe8002010e02040177bb3c0400040004003030040c800000090300ac3a6728fe800400a81e020237f002010002010030123010060a2b060106030f0101040041021799,0,0,2025-06-02T11:18:37.901+0200,1748855917,901636
46.243.188.39,666694446,172.20.88.54,911742124,2069,245,udp,1,161,55183,,,,,111,3065020103300e02024a69020205dc040100020103041e301c040c80000009030000fcba573600020103020367e6c40400040004003030040c80000009030000fcba5736000400a81e020237f002010002010030123010060a2b060106030f010104004102022f,0,0,2025-06-02T11:18:37.901+0200,1748855917,901810
37.153.198.201,3385235749,172.20.88.54,911742124,38292,244,udp,1,161,33937,,,,,112,3066020103300e02024a69020205dc040100020103041f301d040c800000090300d8b1909f9940020103020400c1bdb40400040004003030040c800000090300d8b1909f99400400a81e020237f002010002010030123010060a2b060106030f0101040041026957,0,0,2025-06-02T11:18:37.901+0200,1748855917,901993
5.10.127.8,142543365,172.20.88.54,911742124,55007,48,udp,1,161,35351,,,,,109,3063020103300f02024a69020300ffe3040100020103041b3019040b80000009034c0082fc54400201000201000400040004003030040b80000009034c0082fc54400400a81f020237f002010002010030133011060a2b060106030f010104004103075fec,0,0,2025-06-02T11:18:37.903+0200,1748855917,903170
5.255.86.32,542572293,172.20.88.54,911742124,64731,55,udp,1,161,57504,,,,,115,3069020103300f02024a69020300ffe30401000201030420301e040d80001f888059c0fc5fcbb1a16202011c0204023fadfc0400040004003031040d80001f888059c0fc5fcbb1a1620400a81e020237f002010002010030123010060a2b060106030f0101040041020d73,0,0,2025-06-02T11:18:37.903+0200,1748855917,903315
